,index,Name,Rating Value,Rating Count,Course,Would Take Again,Difficulty,University,Link,Score
18,27,Aziz Bahha,4.0,14,Computer Science,0.79,3.3,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2431988,0.7010000000000001
19,57,Alina Campan,3.6,40,Computer Science,0.58,3.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1040104,0.6866829268292682
20,45,Bradford Thomas,3.0,3,Computer Science,1.0,2.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2349780,0.6849999999999999
21,1,Joseph Rubleske,3.8,22,Computer Science,0.75,3.6,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1861727,0.6739565217391305
22,29,Bo-Kyung Kirby,4.0,38,Computer Science,0.67,3.8,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1125337,0.6713076923076923
23,13,Brian Sauer,5.0,1,Computer Science,1.0,3.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2808775,0.67
24,25,Justin Fry,3.5,12,Computer Science,0.63,3.1,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1804164,0.6639230769230768
25,36,Douglas Wells,4.2,3,Computer Science,0.0,2.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1895492,0.657
26,32,Yangyang Tao,3.2,6,Computer Science,0.75,2.8,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2705935,0.6561428571428571
27,56,James Walden,3.5,20,Computer Science,1.0,4.1,Northern Kentucky University,https://www.ratemyprofessors.com/professor/722885,0.6497142857142857
28,33,Sunday Ngwobia,3.1,8,Computer Science,1.0,3.4,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2823985,0.6486666666666667
29,8,Everett Bruce,4.7,3,Computer Science,0.0,2.7,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1136214,0.645
30,51,Tim McCord,3.5,13,Computer Science,0.5,3.3,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1865813,0.6405714285714286
31,53,Anthony Tsetse,3.0,16,Computer Science,0.65,3.5,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2182848,0.6173529411764707
32,49,Jennifer Blalock,3.5,7,Computer Science,0.0,2.7,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1383175,0.6105
33,34,Michael Clark,2.6,8,Computer Science,0.63,3.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2130524,0.6056666666666667
34,47,Kevin Kirby,3.6,11,Computer Science,0.67,4.3,Northern Kentucky University,https://www.ratemyprofessors.com/professor/74548,0.6
35,19,David Renaker,2.7,7,Computer Science,0.67,3.2,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1543560,0.5995
36,7,Lee Weiner,3.5,27,Computer Science,0.0,3.5,Northern Kentucky University,https://www.ratemyprofessors.com/professor/74557,0.5892857142857142
37,50,Teresa Riley,3.8,6,Computer Science,0.0,3.3,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1902042,0.5871428571428572
38,9,Hunter  Bridewell ,4.3,3,Computer Science,0.0,3.3,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2011406,0.585
39,2,Raj Akula,3.8,2,Computer Science,0.0,2.5,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1760765,0.578
40,54,Scot Cunningham,3.1,44,Computer Science,0.5,4.2,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1382906,0.5773333333333333
41,64,Gail  Wells,2.8,8,Computer Science,0.29,3.4,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2068792,0.5596666666666668
42,35,Tom Cady,3.3,8,Computer Science,0.0,3.5,Northern Kentucky University,https://www.ratemyprofessors.com/professor/550646,0.5546666666666666
43,14,Marius Truta,2.7,15,Computer Science,0.25,3.6,Northern Kentucky University,https://www.ratemyprofessors.com/professor/821064,0.55225
44,55,Cynthia Thomas,2.3,25,Computer Science,0.25,3.4,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1933002,0.5474615384615384
45,0,Wei Hao,2.6,13,Computer Science,0.25,3.6,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1201756,0.5435714285714286
46,22,Rasib Khan,2.6,13,Computer Science,0.42,4.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2243748,0.5365714285714285
47,43,Cindy Bragg,2.9,5,Computer Science,0.0,3.2,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1934424,0.532
48,42,Jasani Hetalkumar,3.5,2,Computer Science,0.0,3.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1603231,0.5299999999999999
49,65,Samuel Cho,2.5,18,Computer Science,0.38,4.3,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2279145,0.5142105263157895
50,59,Shahid Noor,1.9,13,Computer Science,0.34,3.6,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2435410,0.5105714285714286
51,44,Hetal Jasani,2.7,16,Computer Science,0.0,3.9,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1333739,0.5103529411764706
52,39,Kenneth Downs,3.5,2,Computer Science,0.0,3.5,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1509667,0.5
53,46,James Boesken,4.5,1,Computer Science,0.0,4.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1795329,0.48
54,5,Seth Adjei,1.6,40,Computer Science,0.47,4.3,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2414725,0.4776829268292683
55,20,Matthew Grubbs,2.3,3,Computer Science,0.0,3.7,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2721448,0.44099999999999995
56,60,Causenge Cangin,1.8,7,Computer Science,0.0,3.9,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1626504,0.4365
57,21,Darci Guriel,1.6,14,Computer Science,0.23,4.5,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2324944,0.42899999999999994
58,26,Olivier Fischer,1.0,5,Computer Science,0.0,3.2,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2472930,0.418
59,61,Amitabh Mishra,1.3,2,Computer Science,0.0,3.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1755891,0.398
60,40,Asa'd As'ad,1.0,4,Computer Science,0.0,3.5,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2863286,0.39
61,41,Md Shohel Rana,1.0,5,Computer Science,0.0,4.6,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2758833,0.334
62,6,Alex Khul,0.0,0,Computer Science,0.0,0.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2250165,0.3
63,58,Hanieh  Shabanian,0.0,0,Computer Science,0.0,0.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2909290,0.3
64,16,Sylvester Addae,0.0,0,Computer Science,0.0,0.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2876233,0.3
65,23,Jason White,0.0,0,Computer Science,0.0,0.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2944293,0.3
66,37,Kazi Zunnurhain,2.0,1,Computer Science,0.0,5.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2112396,0.27
